# 日期缓存（由 fetch.py 自动维护，请勿手动编辑）
# video_id	epoch_ms	precision	source	最近确认时间(UTC)
# precision=absent 表示该视频经查无存档快照，下轮不再重复查询
-Sz4d7RQB6Y	1551484800000	day_official	wayback	2026-09-15 20:09:52
0zcqeaJfY-8	1546992000000	day_official	wayback	2026-09-15 20:09:52
3WVx2O2kl0A	1513987200000	day_official	wayback	2026-09-15 20:09:52
4CbdVkcr-Nw	1777042340000	exact	rss	2026-09-15 20:09:52
G_lTiQDzF9U	1538006400000	day_official	wayback	2026-09-15 20:09:52
I-ZawsbYpmo	1562544000000	day_official	wayback	2026-09-15 20:09:52
IIzXE99y4uQ	1609545600000	day_official	wayback	2026-09-15 20:09:52
JwTCG15ZB4s	1603929600000	day_official	wayback	2026-09-15 20:09:52
LhEYaovWxl4	1639745065000	exact	rss	2026-09-15 20:09:52
M0JGsSxBd2I	1743813887000	exact	rss	2026-09-15 20:09:52
PDapGJ9jWZk	1720192289000	exact	rss	2026-09-15 20:09:52
RJh9yTIBY48	1517011200000	day_official	wayback	2026-09-15 20:09:52
SHTreEh7ALc	1690120325000	exact	rss	2026-09-15 20:09:52
SjoZ0MlzIfE	1513036800000	day_official	wayback	2026-09-15 20:09:52
XHDXk9THJZM	1702245569000	exact	rss	2026-09-15 20:09:52
cs-ivTWpQBY	1677622835000	exact	rss	2026-09-15 20:09:52
mV_daaldE_I	1611705600000	day_official	wayback	2026-09-15 20:09:52
qDxQIzOMV0w	1577318400000	day_official	wayback	2026-09-15 20:09:52
uViSRE8nsck	1512691200000	day_official	wayback	2026-09-15 20:09:52
zJRxCPLPlgs	1514764800000	day_official	wayback	2026-09-15 20:09:52
-PWCGPdT1CM	0	absent	wayback	2026-09-15 20:09:52
0W_cJ-CqaHs	0	absent	wayback	2026-09-15 20:09:52
6ZCEBSPHUtg	0	absent	wayback	2026-09-15 20:09:52
7ayFiLpXWTI	0	absent	wayback	2026-09-15 20:09:52
9V9ekuXl6Jw	0	absent	wayback	2026-09-15 20:09:52
M2YbK7FnESU	0	absent	wayback	2026-09-15 20:09:52
O-g5-LJ5KZM	0	absent	wayback	2026-09-15 20:09:52
_7YpDityLak	0	absent	wayback	2026-09-15 20:09:52
a60UewomiCg	0	absent	wayback	2026-09-15 20:09:52
elR5vcAJ-PA	0	absent	wayback	2026-09-15 20:09:52
piQnScgCamY	0	absent	wayback	2026-09-15 20:09:52
psUc_oBXE6c	0	absent	wayback	2026-09-15 20:09:52
sm9BFRP93_k	0	absent	wayback	2026-09-15 20:09:52
szgejoiEXP0	0	absent	wayback	2026-09-15 20:09:52
ud1c5w06Y5E	0	absent	wayback	2026-09-15 20:09:52
